conversation_id,user_rating,self_rating,judge_rating,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,error_count
conv_000,9.0,8.5,8.5,30,100.13,667.9,Dutch,0.533,16
conv_001,9.0,8.5,8.5,30,96.13,675.6,English,0.533,16
conv_002,8.5,8.5,8.5,30,96.83,680.87,English,0.533,16
conv_003,9.0,8.5,8.5,30,96.57,633.43,Portuguese,0.533,16
conv_004,9.0,9.0,8.5,30,93.27,604.93,Spanish,0.533,16
conv_005,9.0,8.5,9.0,30,116.8,753.53,French,0.533,16
conv_006,9.0,8.5,8.5,30,78.9,474.33,Arabic,0.533,16
conv_007,9.0,8.5,8.5,30,99.7,707.63,Dutch,0.533,16
conv_008,9.0,9.0,8.5,30,102.47,645.17,Spanish,0.533,16
conv_009,9.0,8.5,8.5,30,86.97,661.87,Dutch,0.533,16
conv_010,9.0,8.5,8.5,30,106.6,656.23,French,0.533,16
conv_011,9.0,8.5,8.5,30,111.63,689.3,German,0.533,16
conv_012,9.0,8.5,8.5,30,100.7,720.67,English,0.533,16
conv_013,9.0,8.5,9.0,30,106.87,702.63,English,0.533,16
conv_014,9.0,8.5,8.5,30,99.17,716.3,English,0.533,16
conv_015,9.0,8.5,8.5,30,109.07,706.73,English,0.533,16
conv_016,9.0,9.0,8.5,30,97.97,688.73,French,0.533,16
conv_017,9.0,8.5,8.5,30,102.03,628.2,Spanish,0.533,16
conv_018,9.0,9.0,8.5,30,103.77,684.37,English,0.533,16
conv_019,9.0,9.0,9.0,30,122.8,705.2,French,0.533,16
conv_020,9.0,8.5,9.0,30,123.83,678.73,French,0.533,16
conv_021,9.0,9.0,9.0,30,97.33,691.2,English,0.533,16
conv_022,9.0,9.0,9.0,30,130.07,705.93,French,0.533,16
conv_023,9.0,9.0,8.5,30,78.7,488.4,Arabic,0.533,16
conv_024,9.0,9.0,8.5,30,90.8,586.87,Swahili,0.533,16
conv_025,9.0,9.0,9.0,30,107.73,598.93,Spanish,0.533,16
conv_026,9.0,8.5,8.5,30,98.53,573.83,Swahili,0.533,16
conv_027,9.0,8.5,8.5,30,94.77,634.13,Dutch,0.533,16
conv_028,9.0,9.0,8.5,30,108.67,629.43,Spanish,0.533,16
conv_029,9.0,9.0,9.0,30,94.73,682.7,English,0.533,16
conv_030,9.0,9.0,9.0,30,99.4,655.7,Spanish,0.533,16
conv_031,9.0,8.5,8.5,30,83.83,485.97,Arabic,0.533,16
conv_032,9.0,9.0,9.0,30,105.57,634.7,Spanish,0.533,16
conv_033,9.0,8.5,9.0,30,105.57,676.23,French,0.533,16
conv_034,9.0,9.0,8.5,30,101.93,682.4,Dutch,0.533,16
conv_035,9.0,8.5,9.0,30,117.4,727.43,English,0.533,16
conv_036,9.0,8.5,8.5,30,100.83,661.13,German,0.533,16
conv_037,9.0,8.5,8.5,30,100.7,672.33,Dutch,0.533,16
conv_038,9.0,9.0,9.0,30,109.17,629.0,Spanish,0.533,16
conv_039,9.0,8.5,9.0,30,110.0,682.53,French,0.533,16
conv_040,9.0,8.5,8.5,30,117.53,719.93,English,0.533,16
conv_041,9.0,8.5,8.5,30,95.97,653.2,Portuguese,0.533,16
conv_042,9.0,8.5,8.5,30,107.1,658.13,English,0.533,16
conv_043,9.0,8.5,8.5,30,118.0,690.5,French,0.533,16
conv_044,9.0,9.0,8.5,30,95.53,641.7,Dutch,0.533,16
conv_045,9.0,9.0,9.0,30,103.2,685.0,English,0.533,16
conv_046,9.0,8.5,8.5,30,104.1,710.33,English,0.533,16
conv_047,9.0,9.0,8.5,30,107.47,689.87,English,0.533,16
conv_048,9.0,9.0,8.5,30,90.07,689.1,English,0.533,16
conv_049,9.0,9.0,8.5,30,95.33,694.8,English,0.533,16
conv_050,9.0,9.0,8.5,30,117.47,684.1,French,0.533,16
conv_051,9.0,8.5,8.5,30,101.17,636.73,Portuguese,0.533,16
conv_052,9.0,8.5,8.5,30,103.27,693.1,English,0.533,16
conv_053,9.0,9.0,9.0,30,111.1,624.97,Spanish,0.533,16
conv_054,9.0,8.5,9.0,30,105.57,656.3,Portuguese,0.533,16
conv_055,9.0,9.0,9.0,30,109.67,655.9,Spanish,0.533,16
conv_056,8.5,8.5,8.5,30,100.47,601.2,Spanish,0.533,16
conv_057,9.0,8.5,8.5,30,106.73,686.7,French,0.533,16
conv_058,9.0,8.5,8.5,30,108.8,635.33,Portuguese,0.533,16
conv_059,9.0,9.0,9.0,30,101.4,635.97,Spanish,0.533,16
conv_060,9.0,9.0,9.0,30,100.3,646.1,Spanish,0.533,16
conv_061,9.0,8.5,9.0,30,90.03,710.27,English,0.533,16
conv_062,8.5,8.5,8.5,30,109.63,625.77,Portuguese,0.533,16
conv_063,9.0,8.5,8.5,30,89.33,692.0,English,0.533,16
conv_064,9.0,9.0,9.0,30,98.5,681.8,French,0.533,16
conv_065,9.0,9.0,8.5,30,91.4,575.0,Swahili,0.533,16
conv_066,9.0,8.5,8.5,30,76.03,465.57,Arabic,0.533,16
conv_067,9.0,9.0,8.5,30,110.83,571.77,Swahili,0.533,16
conv_068,9.0,9.0,9.0,30,116.8,704.7,German,0.533,16
conv_069,9.0,8.5,8.5,30,113.97,627.93,Spanish,0.533,16
conv_070,9.0,9.0,9.0,30,113.5,678.23,English,0.533,16
conv_071,9.0,8.5,8.5,30,93.37,581.33,Swahili,0.533,16
conv_072,9.0,9.0,8.5,30,109.13,675.87,English,0.533,16
conv_073,9.0,8.5,8.5,30,113.9,718.6,French,0.533,16
conv_074,9.0,9.0,8.5,30,108.4,679.7,French,0.533,16
conv_075,9.0,8.5,8.5,30,97.8,543.13,Swahili,0.533,16
conv_076,9.0,9.0,8.5,30,106.6,566.1,Swahili,0.533,16
conv_077,9.0,8.5,9.0,30,117.3,700.5,French,0.533,16
conv_078,9.0,8.5,8.5,30,100.3,699.33,English,0.533,16
conv_079,9.0,8.5,9.0,30,112.47,739.7,English,0.533,16
conv_080,9.0,9.0,8.5,30,99.53,632.5,Portuguese,0.533,16
conv_081,9.0,9.0,8.5,30,112.67,675.43,German,0.533,16
conv_082,9.0,9.0,9.0,30,97.17,691.93,English,0.533,16
conv_083,9.0,8.5,8.5,30,90.53,623.8,Spanish,0.533,16
conv_084,9.0,8.5,8.5,30,93.3,578.3,Swahili,0.533,16
conv_085,9.0,9.0,9.0,30,106.77,625.27,Spanish,0.533,16
conv_086,9.0,9.0,8.5,30,82.27,485.8,Arabic,0.533,16
conv_087,9.0,9.0,8.5,30,88.0,547.93,Swahili,0.533,16
conv_088,9.0,8.5,8.5,30,108.53,636.17,Dutch,0.533,16
conv_089,9.0,8.5,8.5,30,106.33,721.73,German,0.533,16
conv_090,9.0,9.0,8.5,30,96.2,625.07,Portuguese,0.533,16
conv_091,9.0,9.0,8.5,30,91.33,647.63,Dutch,0.533,16
conv_092,9.0,9.0,8.5,30,102.1,673.7,German,0.533,16
conv_093,9.0,9.0,8.5,30,114.73,707.17,English,0.533,16
conv_094,9.0,8.5,8.5,30,113.7,686.27,German,0.533,16
conv_095,9.0,8.5,8.5,30,92.73,696.27,English,0.533,16
conv_096,9.0,8.5,8.5,30,100.33,556.47,Swahili,0.533,16
conv_097,9.0,8.5,8.5,30,114.57,661.17,Spanish,0.533,16
conv_098,9.0,9.0,8.5,30,104.07,696.6,English,0.533,16
conv_099,9.0,9.0,9.0,30,106.87,637.93,Spanish,0.533,16
conv_100,9.0,8.5,9.0,30,101.83,704.7,English,0.533,16
conv_101,8.5,8.5,8.5,30,87.07,638.63,Dutch,0.533,16
conv_102,9.0,8.5,8.5,30,104.73,626.77,Spanish,0.533,16
conv_103,9.0,8.5,8.5,30,102.8,563.5,Swahili,0.533,16
conv_104,9.0,8.5,9.0,30,90.5,504.33,Arabic,0.533,16
conv_105,9.0,9.0,8.5,30,107.2,618.77,Spanish,0.533,16
conv_106,9.0,8.5,8.5,30,110.5,577.57,Swahili,0.533,16
conv_107,9.0,8.5,8.5,30,114.27,673.2,German,0.533,16
conv_108,9.0,8.5,8.5,30,95.37,639.2,English,0.533,16
conv_109,9.0,8.5,8.5,30,103.13,676.6,English,0.533,16
conv_110,9.0,8.5,8.5,30,104.0,698.07,English,0.533,16
conv_111,8.5,8.5,8.5,30,100.77,670.13,French,0.533,16
conv_112,9.0,9.0,9.0,30,112.47,719.1,French,0.533,16
conv_113,9.0,9.0,9.0,30,107.97,690.87,French,0.533,16
conv_114,9.0,9.0,9.0,30,112.03,703.37,French,0.533,16
conv_115,9.0,9.0,9.0,30,97.87,672.57,Portuguese,0.533,16
conv_116,9.0,9.0,8.5,30,97.47,572.07,Swahili,0.533,16
conv_117,9.0,8.5,8.5,30,102.4,567.7,Swahili,0.533,16
conv_118,9.0,8.5,8.5,30,93.9,564.97,Swahili,0.533,16
conv_119,9.0,9.0,9.0,30,101.5,675.07,Dutch,0.533,16
conv_120,9.0,8.5,8.5,30,86.7,616.1,Dutch,0.533,16
conv_121,9.0,8.5,8.5,30,102.87,728.63,English,0.533,16
conv_122,9.0,8.5,8.5,30,108.8,664.83,Spanish,0.533,16
conv_123,9.0,9.0,8.5,30,102.37,699.03,German,0.533,16
conv_124,9.0,9.0,8.5,30,104.67,631.37,Spanish,0.533,16
conv_125,9.0,8.5,8.5,30,106.9,662.8,English,0.533,16
conv_126,9.0,9.0,9.0,30,96.67,615.7,Spanish,0.533,16
conv_127,9.0,9.0,9.0,30,108.13,714.47,English,0.533,16
conv_128,9.0,8.5,8.5,30,95.2,711.27,English,0.533,16
conv_129,9.0,8.5,8.5,30,94.97,671.47,German,0.533,16
conv_130,9.0,9.0,9.0,30,111.37,696.5,French,0.533,16
conv_131,9.0,9.0,9.0,30,98.73,619.5,Spanish,0.533,16
conv_132,8.5,8.5,8.5,30,83.4,638.97,Dutch,0.533,16
conv_133,9.0,9.0,9.0,30,102.17,665.43,Dutch,0.533,16
conv_134,9.0,9.0,8.5,30,107.03,669.77,Spanish,0.533,16
conv_135,9.0,8.5,8.5,30,99.33,698.77,English,0.533,16
conv_136,9.0,8.5,8.5,30,99.4,674.67,Dutch,0.533,16
conv_137,9.0,9.0,9.0,30,103.7,664.23,French,0.533,16
conv_138,9.0,9.0,8.5,30,132.23,675.6,French,0.533,16
conv_139,9.0,8.5,9.0,30,94.0,689.87,English,0.533,16
conv_140,9.0,8.5,9.0,30,103.2,684.83,French,0.533,16
conv_141,9.0,9.0,9.0,30,108.97,661.27,Portuguese,0.533,16
conv_142,9.0,8.5,9.0,30,106.17,686.27,French,0.533,16
conv_143,9.0,8.5,8.5,30,92.7,663.23,Portuguese,0.533,16
conv_144,9.0,8.5,8.5,30,95.9,617.57,Portuguese,0.533,16
conv_145,9.0,8.5,8.5,30,110.9,609.0,Spanish,0.533,16
conv_146,9.0,8.5,8.5,30,94.53,632.6,Portuguese,0.533,16
conv_147,9.0,9.0,8.5,30,106.3,629.03,Spanish,0.533,16
conv_148,9.0,8.5,8.5,30,97.03,700.8,English,0.533,16
conv_149,9.0,9.0,9.0,30,102.47,622.13,Spanish,0.533,16
conv_150,9.0,9.0,9.0,30,116.4,698.67,French,0.533,16
conv_151,9.0,8.5,8.5,30,116.03,685.3,German,0.533,16
conv_152,9.0,8.5,8.5,30,92.97,563.5,Swahili,0.533,16
conv_153,9.0,9.0,8.5,30,103.5,656.03,Spanish,0.533,16
conv_154,9.0,8.5,8.5,30,106.27,674.03,French,0.533,16
conv_155,9.0,8.5,8.5,30,115.17,709.73,French,0.533,16
conv_156,9.0,8.5,8.5,30,90.73,628.17,Dutch,0.533,16
conv_157,9.0,9.0,9.0,30,121.9,675.7,French,0.533,16
conv_158,9.0,9.0,9.0,30,140.13,712.27,French,0.533,16
conv_159,9.0,9.0,9.0,30,98.7,623.0,Spanish,0.533,16
conv_160,9.0,8.5,8.5,30,112.47,702.9,Dutch,0.533,16
conv_161,8.5,8.5,8.5,30,98.97,692.23,German,0.533,16
conv_162,9.0,8.5,8.5,30,109.6,733.47,English,0.533,16
conv_163,9.0,9.0,9.0,30,107.83,701.03,French,0.533,16
conv_164,9.0,9.0,9.0,30,92.43,604.97,Spanish,0.533,16
conv_165,8.5,8.5,8.5,30,111.87,678.77,German,0.533,16
conv_166,9.0,8.5,8.5,30,114.93,719.1,English,0.533,16
conv_167,9.0,9.0,9.5,30,91.23,572.2,Swahili,0.533,16
conv_168,9.0,9.0,9.0,30,116.0,684.27,German,0.533,16
conv_169,9.0,9.0,9.0,30,98.3,645.2,Portuguese,0.533,16
conv_170,9.0,8.5,8.5,30,95.93,571.7,Swahili,0.533,16
conv_171,9.0,8.5,8.5,30,85.7,640.6,Dutch,0.533,16
conv_172,9.0,9.0,8.5,30,93.17,605.77,Spanish,0.533,16
conv_173,9.0,8.5,8.5,30,115.97,619.07,Spanish,0.533,16
conv_174,9.0,8.5,8.5,30,102.4,666.57,French,0.533,16
conv_175,9.0,9.0,9.0,30,90.7,702.2,French,0.533,16
conv_176,9.0,8.5,9.0,30,104.53,664.73,Portuguese,0.533,16
conv_177,9.0,9.0,8.5,30,103.67,646.8,Spanish,0.533,16
conv_178,9.0,8.5,8.5,30,102.3,618.47,Spanish,0.533,16
conv_179,9.0,9.0,8.5,30,99.57,670.97,English,0.533,16
conv_180,9.0,9.0,8.5,30,104.97,659.77,Spanish,0.533,16
conv_181,9.0,9.0,9.0,30,109.53,707.17,English,0.533,16
conv_182,9.0,8.5,8.5,30,95.77,661.3,English,0.533,16
conv_183,9.0,8.5,8.5,30,84.6,500.0,Arabic,0.533,16
conv_184,8.5,8.5,8.5,30,114.73,688.1,German,0.533,16
conv_185,8.5,8.5,8.5,30,102.2,632.8,Dutch,0.533,16
conv_186,9.0,9.0,9.0,30,103.77,700.07,English,0.533,16
conv_187,9.0,9.0,9.0,30,107.93,659.73,French,0.533,16
conv_188,9.0,9.0,9.0,30,103.93,684.2,French,0.533,16
conv_189,9.0,8.5,8.5,30,93.8,634.53,Spanish,0.533,16
conv_190,9.0,8.5,8.5,30,85.1,625.0,Dutch,0.533,16
conv_191,9.0,9.0,9.0,30,100.83,613.4,Spanish,0.533,16
conv_192,9.0,8.5,8.5,30,110.27,680.43,English,0.533,16
conv_193,9.0,8.5,8.5,30,107.23,677.57,Dutch,0.533,16
conv_194,9.0,8.5,8.5,30,109.4,681.33,English,0.533,16
conv_195,9.0,9.0,9.0,30,111.57,670.3,Spanish,0.533,16
conv_196,9.0,8.5,8.5,30,103.9,643.13,Spanish,0.533,16
conv_197,8.5,8.5,8.5,30,96.83,644.0,Dutch,0.533,16
conv_198,9.0,8.5,8.5,30,100.9,670.9,English,0.533,16
conv_199,9.0,8.5,9.0,30,124.33,699.73,French,0.533,16
conv_200,9.0,9.0,8.5,30,103.67,555.47,Swahili,0.533,16
conv_201,9.0,9.0,8.5,30,112.0,547.67,Swahili,0.533,16
conv_202,9.0,9.0,8.5,30,87.53,621.23,Portuguese,0.533,16
conv_203,9.0,9.0,9.0,30,101.77,637.7,Spanish,0.533,16
conv_204,9.0,8.5,9.0,30,109.9,683.9,French,0.533,16
conv_205,9.0,9.0,8.5,30,102.9,651.2,German,0.533,16
conv_206,9.0,9.0,9.0,30,91.93,655.8,English,0.533,16
conv_207,9.0,9.0,8.5,30,110.33,625.17,Spanish,0.533,16
conv_208,9.0,9.0,9.0,30,107.9,684.23,English,0.533,16
conv_209,9.0,8.5,8.5,30,100.37,622.7,Dutch,0.533,16
conv_210,9.0,8.5,8.5,30,97.63,682.83,English,0.533,16
conv_211,9.0,9.0,9.0,30,84.0,665.13,English,0.533,16
conv_212,9.0,9.0,9.0,30,91.27,623.4,Portuguese,0.533,16
conv_213,9.0,8.5,8.5,30,95.13,562.1,Swahili,0.533,16
conv_214,9.0,8.5,8.5,30,91.83,612.0,Spanish,0.533,16
conv_215,9.0,8.5,8.5,30,100.97,722.43,English,0.533,16
conv_216,9.0,9.0,9.0,30,105.63,718.7,English,0.533,16
conv_217,9.0,8.5,8.5,30,102.43,707.67,English,0.533,16
conv_218,9.0,9.0,9.0,30,90.83,633.9,Spanish,0.533,16
conv_219,8.5,8.5,8.5,30,116.2,695.6,German,0.533,16
conv_220,9.0,8.5,8.5,30,111.73,622.13,Spanish,0.533,16
conv_221,9.0,9.0,8.5,30,94.27,654.2,English,0.533,16
conv_222,9.0,9.0,9.0,30,111.53,731.23,French,0.533,16
conv_223,9.0,8.5,8.5,30,113.57,626.73,Spanish,0.533,16
conv_224,9.0,8.5,8.5,30,105.53,615.83,Spanish,0.533,16
conv_225,9.0,8.5,8.5,30,102.3,690.63,English,0.533,16
conv_226,9.0,8.5,8.5,30,96.27,678.9,English,0.533,16
conv_227,9.0,9.0,9.0,30,109.07,694.77,French,0.533,16
conv_228,9.0,9.0,8.5,30,98.8,657.8,French,0.533,16
conv_229,9.0,9.0,8.5,30,109.4,639.87,Spanish,0.533,16
conv_230,9.0,8.5,8.5,30,106.17,705.97,English,0.533,16
conv_231,9.0,9.0,9.0,30,85.83,470.43,Arabic,0.533,16
conv_232,9.0,8.5,8.5,30,93.67,628.87,Dutch,0.533,16
conv_233,9.0,8.5,8.5,30,91.47,582.1,Swahili,0.533,16
conv_234,9.0,8.5,8.5,30,93.8,658.03,Dutch,0.533,16
conv_235,9.0,8.5,8.5,30,73.43,631.3,English,0.533,16
conv_236,9.0,9.0,9.0,30,111.17,709.6,English,0.533,16
conv_237,9.0,8.5,8.5,30,96.23,694.67,English,0.533,16
conv_238,9.0,9.0,8.5,30,96.9,579.97,Swahili,0.533,16
conv_239,9.0,8.5,8.5,30,87.67,656.6,English,0.533,16
conv_240,9.0,9.0,9.0,30,102.03,633.53,Spanish,0.533,16
conv_241,9.0,9.0,8.5,30,103.4,687.27,French,0.533,16
conv_242,9.0,9.0,9.0,30,101.4,741.53,English,0.533,16
conv_243,9.0,8.5,8.5,30,115.4,704.23,German,0.533,16
